gameid,date,home,away,competition,name,odds,is_cashoutable
3001928792,2023-08-13T17:35:00Z,TOR Blue Jays,CHI Cubs,EUA - MLB,Acima de 8.5,1.68,False
3001928792,2023-08-13T17:35:00Z,TOR Blue Jays,CHI Cubs,EUA - MLB,Abaixo de 8.5,2.15,False
3001928792,2023-08-13T17:35:00Z,TOR Blue Jays,CHI Cubs,EUA - MLB,Acima de 9.5,2.05,False
3001928792,2023-08-13T17:35:00Z,TOR Blue Jays,CHI Cubs,EUA - MLB,Abaixo de 9.5,1.75,False
3001928792,2023-08-13T17:35:00Z,TOR Blue Jays,CHI Cubs,EUA - MLB,Acima de 10.5,2.35,False
3001928792,2023-08-13T17:35:00Z,TOR Blue Jays,CHI Cubs,EUA - MLB,Abaixo de 10.5,1.58,False
3001928792,2023-08-13T17:35:00Z,TOR Blue Jays,CHI Cubs,EUA - MLB,Acima de 11.5,2.95,False
3001928792,2023-08-13T17:35:00Z,TOR Blue Jays,CHI Cubs,EUA - MLB,Abaixo de 11.5,1.38,False
3001928796,2023-08-13T17:40:00Z,TB Rays,Cleveland Guardians,EUA - MLB,Acima de 5.5,1.42,False
3001928796,2023-08-13T17:40:00Z,TB Rays,Cleveland Guardians,EUA - MLB,Abaixo de 5.5,2.85,False
3001928796,2023-08-13T17:40:00Z,TB Rays,Cleveland Guardians,EUA - MLB,Acima de 6.5,1.6,False
3001928796,2023-08-13T17:40:00Z,TB Rays,Cleveland Guardians,EUA - MLB,Abaixo de 6.5,2.3,False
3001928796,2023-08-13T17:40:00Z,TB Rays,Cleveland Guardians,EUA - MLB,Acima de 7.5,2.0,False
3001928796,2023-08-13T17:40:00Z,TB Rays,Cleveland Guardians,EUA - MLB,Abaixo de 7.5,1.8,False
3001928796,2023-08-13T17:40:00Z,TB Rays,Cleveland Guardians,EUA - MLB,Acima de 8.5,2.35,False
3001928796,2023-08-13T17:40:00Z,TB Rays,Cleveland Guardians,EUA - MLB,Abaixo de 8.5,1.58,False
3001928796,2023-08-13T17:40:00Z,TB Rays,Cleveland Guardians,EUA - MLB,Acima de 9.5,3.0,False
3001928796,2023-08-13T17:40:00Z,TB Rays,Cleveland Guardians,EUA - MLB,Abaixo de 9.5,1.38,False
3001928790,2023-08-13T17:40:00Z,MIA Marlins,NY Yankees,EUA - MLB,Acima de 5.5,1.45,False
3001928790,2023-08-13T17:40:00Z,MIA Marlins,NY Yankees,EUA - MLB,Abaixo de 5.5,2.7,False
3001928790,2023-08-13T17:40:00Z,MIA Marlins,NY Yankees,EUA - MLB,Acima de 6.5,1.65,False
3001928790,2023-08-13T17:40:00Z,MIA Marlins,NY Yankees,EUA - MLB,Abaixo de 6.5,2.2,False
3001928790,2023-08-13T17:40:00Z,MIA Marlins,NY Yankees,EUA - MLB,Acima de 7.5,2.1,False
3001928790,2023-08-13T17:40:00Z,MIA Marlins,NY Yankees,EUA - MLB,Abaixo de 7.5,1.72,False
3001928790,2023-08-13T17:40:00Z,MIA Marlins,NY Yankees,EUA - MLB,Acima de 8.5,2.45,False
3001928790,2023-08-13T17:40:00Z,MIA Marlins,NY Yankees,EUA - MLB,Abaixo de 8.5,1.52,False
3001928790,2023-08-13T17:40:00Z,MIA Marlins,NY Yankees,EUA - MLB,Acima de 9.5,3.25,False
3001928790,2023-08-13T17:40:00Z,MIA Marlins,NY Yankees,EUA - MLB,Abaixo de 9.5,1.32,False
3001961355,2023-08-13T18:10:00Z,HOU Astros,LA Angels,EUA - MLB,Acima de 6.5,1.35,False
3001961355,2023-08-13T18:10:00Z,HOU Astros,LA Angels,EUA - MLB,Abaixo de 6.5,3.1,False
3001961355,2023-08-13T18:10:00Z,HOU Astros,LA Angels,EUA - MLB,Acima de 7.5,1.6,False
3001961355,2023-08-13T18:10:00Z,HOU Astros,LA Angels,EUA - MLB,Abaixo de 7.5,2.3,False
3001961355,2023-08-13T18:10:00Z,HOU Astros,LA Angels,EUA - MLB,Acima de 8.5,1.82,False
3001961355,2023-08-13T18:10:00Z,HOU Astros,LA Angels,EUA - MLB,Abaixo de 8.5,1.95,False
3001961355,2023-08-13T18:10:00Z,HOU Astros,LA Angels,EUA - MLB,Acima de 9.5,2.25,False
3001961355,2023-08-13T18:10:00Z,HOU Astros,LA Angels,EUA - MLB,Abaixo de 9.5,1.62,False
3001961355,2023-08-13T18:10:00Z,HOU Astros,LA Angels,EUA - MLB,Acima de 10.5,2.65,False
3001961355,2023-08-13T18:10:00Z,HOU Astros,LA Angels,EUA - MLB,Abaixo de 10.5,1.45,False
3001929012,2023-08-13T18:10:00Z,CHI White Sox,MIL Brewers,EUA - MLB,Acima de 6.5,1.45,False
3001929012,2023-08-13T18:10:00Z,CHI White Sox,MIL Brewers,EUA - MLB,Abaixo de 6.5,2.7,False
3001929012,2023-08-13T18:10:00Z,CHI White Sox,MIL Brewers,EUA - MLB,Acima de 7.5,1.75,False
3001929012,2023-08-13T18:10:00Z,CHI White Sox,MIL Brewers,EUA - MLB,Abaixo de 7.5,2.05,False
3001929012,2023-08-13T18:10:00Z,CHI White Sox,MIL Brewers,EUA - MLB,Acima de 8.5,2.0,False
3001929012,2023-08-13T18:10:00Z,CHI White Sox,MIL Brewers,EUA - MLB,Abaixo de 8.5,1.78,False
3001929012,2023-08-13T18:10:00Z,CHI White Sox,MIL Brewers,EUA - MLB,Acima de 9.5,2.55,False
3001929012,2023-08-13T18:10:00Z,CHI White Sox,MIL Brewers,EUA - MLB,Abaixo de 9.5,1.5,False
3001929012,2023-08-13T18:10:00Z,CHI White Sox,MIL Brewers,EUA - MLB,Acima de 10.5,3.05,False
3001929012,2023-08-13T18:10:00Z,CHI White Sox,MIL Brewers,EUA - MLB,Abaixo de 10.5,1.38,False
3001929014,2023-08-13T20:05:00Z,SF Giants,TEX Rangers,EUA - MLB,Acima de 5.5,1.32,False
3001929014,2023-08-13T20:05:00Z,SF Giants,TEX Rangers,EUA - MLB,Abaixo de 5.5,3.3,False
3001929014,2023-08-13T20:05:00Z,SF Giants,TEX Rangers,EUA - MLB,Acima de 6.5,1.45,False
3001929014,2023-08-13T20:05:00Z,SF Giants,TEX Rangers,EUA - MLB,Abaixo de 6.5,2.65,False
3001929014,2023-08-13T20:05:00Z,SF Giants,TEX Rangers,EUA - MLB,Acima de 7.5,1.78,False
3001929014,2023-08-13T20:05:00Z,SF Giants,TEX Rangers,EUA - MLB,Abaixo de 7.5,2.05,False
3001929014,2023-08-13T20:05:00Z,SF Giants,TEX Rangers,EUA - MLB,Acima de 8.5,2.05,False
3001929014,2023-08-13T20:05:00Z,SF Giants,TEX Rangers,EUA - MLB,Abaixo de 8.5,1.75,False
3001929014,2023-08-13T20:05:00Z,SF Giants,TEX Rangers,EUA - MLB,Acima de 9.5,2.6,False
3001929014,2023-08-13T20:05:00Z,SF Giants,TEX Rangers,EUA - MLB,Abaixo de 9.5,1.48,False
3001961333,2023-08-13T20:10:00Z,LA Dodgers,COL Rockies,EUA - MLB,Acima de 6.5,1.38,False
3001961333,2023-08-13T20:10:00Z,LA Dodgers,COL Rockies,EUA - MLB,Abaixo de 6.5,3.05,False
3001961333,2023-08-13T20:10:00Z,LA Dodgers,COL Rockies,EUA - MLB,Acima de 7.5,1.62,False
3001961333,2023-08-13T20:10:00Z,LA Dodgers,COL Rockies,EUA - MLB,Abaixo de 7.5,2.25,False
3001961333,2023-08-13T20:10:00Z,LA Dodgers,COL Rockies,EUA - MLB,Acima de 8.5,1.85,False
3001961333,2023-08-13T20:10:00Z,LA Dodgers,COL Rockies,EUA - MLB,Abaixo de 8.5,1.9,False
3001961333,2023-08-13T20:10:00Z,LA Dodgers,COL Rockies,EUA - MLB,Acima de 9.5,2.25,False
3001961333,2023-08-13T20:10:00Z,LA Dodgers,COL Rockies,EUA - MLB,Abaixo de 9.5,1.62,False
3001961333,2023-08-13T20:10:00Z,LA Dodgers,COL Rockies,EUA - MLB,Acima de 10.5,2.7,False
3001961333,2023-08-13T20:10:00Z,LA Dodgers,COL Rockies,EUA - MLB,Abaixo de 10.5,1.45,False
3001961336,2023-08-13T20:10:00Z,ARI Diamondbacks,SD Padres,EUA - MLB,Acima de 7.5,1.52,False
3001961336,2023-08-13T20:10:00Z,ARI Diamondbacks,SD Padres,EUA - MLB,Abaixo de 7.5,2.5,False
3001961336,2023-08-13T20:10:00Z,ARI Diamondbacks,SD Padres,EUA - MLB,Acima de 8.5,1.7,False
3001961336,2023-08-13T20:10:00Z,ARI Diamondbacks,SD Padres,EUA - MLB,Abaixo de 8.5,2.1,False
3001961336,2023-08-13T20:10:00Z,ARI Diamondbacks,SD Padres,EUA - MLB,Acima de 9.5,2.05,False
3001961336,2023-08-13T20:10:00Z,ARI Diamondbacks,SD Padres,EUA - MLB,Abaixo de 9.5,1.75,False
3001961336,2023-08-13T20:10:00Z,ARI Diamondbacks,SD Padres,EUA - MLB,Acima de 10.5,2.4,False
3001961336,2023-08-13T20:10:00Z,ARI Diamondbacks,SD Padres,EUA - MLB,Abaixo de 10.5,1.55,False
3001961336,2023-08-13T20:10:00Z,ARI Diamondbacks,SD Padres,EUA - MLB,Acima de 11.5,3.05,False
3001961336,2023-08-13T20:10:00Z,ARI Diamondbacks,SD Padres,EUA - MLB,Abaixo de 11.5,1.38,False
3001929013,2023-08-13T20:10:00Z,SEA Mariners,BAL Orioles,EUA - MLB,Acima de 6.5,1.45,False
3001929013,2023-08-13T20:10:00Z,SEA Mariners,BAL Orioles,EUA - MLB,Abaixo de 6.5,2.75,False
3001929013,2023-08-13T20:10:00Z,SEA Mariners,BAL Orioles,EUA - MLB,Acima de 7.5,1.75,False
3001929013,2023-08-13T20:10:00Z,SEA Mariners,BAL Orioles,EUA - MLB,Abaixo de 7.5,2.05,False
3001929013,2023-08-13T20:10:00Z,SEA Mariners,BAL Orioles,EUA - MLB,Acima de 8.5,2.0,False
3001929013,2023-08-13T20:10:00Z,SEA Mariners,BAL Orioles,EUA - MLB,Abaixo de 8.5,1.78,False
3001929013,2023-08-13T20:10:00Z,SEA Mariners,BAL Orioles,EUA - MLB,Acima de 9.5,2.55,False
3001929013,2023-08-13T20:10:00Z,SEA Mariners,BAL Orioles,EUA - MLB,Abaixo de 9.5,1.5,False
3001929013,2023-08-13T20:10:00Z,SEA Mariners,BAL Orioles,EUA - MLB,Acima de 10.5,3.0,False
3001929013,2023-08-13T20:10:00Z,SEA Mariners,BAL Orioles,EUA - MLB,Abaixo de 10.5,1.38,False
3001982910,2023-08-13T22:05:00Z,PIT Pirates,CIN Reds,EUA - MLB,Acima de 7.5,1.42,False
3001982910,2023-08-13T22:05:00Z,PIT Pirates,CIN Reds,EUA - MLB,Abaixo de 7.5,2.85,False
3001982910,2023-08-13T22:05:00Z,PIT Pirates,CIN Reds,EUA - MLB,Acima de 8.5,1.58,False
3001982910,2023-08-13T22:05:00Z,PIT Pirates,CIN Reds,EUA - MLB,Abaixo de 8.5,2.35,False
3001982910,2023-08-13T22:05:00Z,PIT Pirates,CIN Reds,EUA - MLB,Acima de 9.5,1.88,False
3001982910,2023-08-13T22:05:00Z,PIT Pirates,CIN Reds,EUA - MLB,Abaixo de 9.5,1.9,False
3001982910,2023-08-13T22:05:00Z,PIT Pirates,CIN Reds,EUA - MLB,Acima de 10.5,2.15,False
3001982910,2023-08-13T22:05:00Z,PIT Pirates,CIN Reds,EUA - MLB,Abaixo de 10.5,1.68,False
3001982910,2023-08-13T22:05:00Z,PIT Pirates,CIN Reds,EUA - MLB,Acima de 11.5,2.7,False
3001982910,2023-08-13T22:05:00Z,PIT Pirates,CIN Reds,EUA - MLB,Abaixo de 11.5,1.45,False
3001928791,2023-08-13T23:10:00Z,NY Mets,ATL Braves,EUA - MLB,Acima de 7.5,1.38,False
3001928791,2023-08-13T23:10:00Z,NY Mets,ATL Braves,EUA - MLB,Abaixo de 7.5,2.95,False
3001928791,2023-08-13T23:10:00Z,NY Mets,ATL Braves,EUA - MLB,Acima de 8.5,1.55,False
3001928791,2023-08-13T23:10:00Z,NY Mets,ATL Braves,EUA - MLB,Abaixo de 8.5,2.45,False
3001928791,2023-08-13T23:10:00Z,NY Mets,ATL Braves,EUA - MLB,Acima de 9.5,1.82,False
3001928791,2023-08-13T23:10:00Z,NY Mets,ATL Braves,EUA - MLB,Abaixo de 9.5,1.95,False
3001928791,2023-08-13T23:10:00Z,NY Mets,ATL Braves,EUA - MLB,Acima de 10.5,2.1,False
3001928791,2023-08-13T23:10:00Z,NY Mets,ATL Braves,EUA - MLB,Abaixo de 10.5,1.72,False
3001928791,2023-08-13T23:10:00Z,NY Mets,ATL Braves,EUA - MLB,Acima de 11.5,2.6,False
3001928791,2023-08-13T23:10:00Z,NY Mets,ATL Braves,EUA - MLB,Abaixo de 11.5,1.48,False
